1,2,3,4,5,6,7,8,9,10,value
non-markov,N:,3,t:,0,g:,0,phi:,0.292,pingjunzhi:,0.002701996
non-markov,N:,3,t:,0,g:,0,phi:,0.296,pingjunzhi:,0.00327555
non-markov,N:,3,t:,0,g:,0,phi:,0.3,pingjunzhi:,0.002790261
non-markov,N:,3,t:,0,g:,0.1,phi:,0,pingjunzhi:,0.000173606
non-markov,N:,3,t:,0,g:,0.1,phi:,0.004,pingjunzhi:,0.000216837
non-markov,N:,3,t:,0,g:,0.1,phi:,0.008,pingjunzhi:,0.000203264
non-markov,N:,3,t:,0,g:,0.1,phi:,0.012,pingjunzhi:,0.000252758
non-markov,N:,3,t:,0,g:,0.1,phi:,0.016,pingjunzhi:,0.000219009
non-markov,N:,3,t:,0,g:,0.1,phi:,0.02,pingjunzhi:,0.000219855
non-markov,N:,3,t:,0,g:,0.1,phi:,0.024,pingjunzhi:,0.000208665
non-markov,N:,3,t:,0,g:,0.1,phi:,0.028,pingjunzhi:,0.000218424
non-markov,N:,3,t:,0,g:,0.1,phi:,0.032,pingjunzhi:,0.000209046
non-markov,N:,3,t:,0,g:,0.1,phi:,0.036,pingjunzhi:,0.000219945
non-markov,N:,3,t:,0,g:,0.1,phi:,0.04,pingjunzhi:,0.000255155
non-markov,N:,3,t:,0,g:,0.1,phi:,0.044,pingjunzhi:,0.000242058
non-markov,N:,3,t:,0,g:,0.1,phi:,0.048,pingjunzhi:,0.000294312
non-markov,N:,3,t:,0,g:,0.1,phi:,0.052,pingjunzhi:,0.000254144
non-markov,N:,3,t:,0,g:,0.1,phi:,0.056,pingjunzhi:,0.000311283
non-markov,N:,3,t:,0,g:,0.1,phi:,0.06,pingjunzhi:,0.000334499
non-markov,N:,3,t:,0,g:,0.1,phi:,0.064,pingjunzhi:,0.000314599
non-markov,N:,3,t:,0,g:,0.1,phi:,0.068,pingjunzhi:,0.000369338
non-markov,N:,3,t:,0,g:,0.1,phi:,0.072,pingjunzhi:,0.000446381
non-markov,N:,3,t:,0,g:,0.1,phi:,0.076,pingjunzhi:,0.000405355
non-markov,N:,3,t:,0,g:,0.1,phi:,0.08,pingjunzhi:,0.000412657
non-markov,N:,3,t:,0,g:,0.1,phi:,0.084,pingjunzhi:,0.000464867
non-markov,N:,3,t:,0,g:,0.1,phi:,0.088,pingjunzhi:,0.000471974
non-markov,N:,3,t:,0,g:,0.1,phi:,0.092,pingjunzhi:,0.000505132
non-markov,N:,3,t:,0,g:,0.1,phi:,0.096,pingjunzhi:,0.000559379
non-markov,N:,3,t:,0,g:,0.1,phi:,0.1,pingjunzhi:,0.000606915
non-markov,N:,3,t:,0,g:,0.1,phi:,0.104,pingjunzhi:,0.000576971
non-markov,N:,3,t:,0,g:,0.1,phi:,0.108,pingjunzhi:,0.000522287
non-markov,N:,3,t:,0,g:,0.1,phi:,0.112,pingjunzhi:,0.000555063
non-markov,N:,3,t:,0,g:,0.1,phi:,0.116,pingjunzhi:,0.000769793
non-markov,N:,3,t:,0,g:,0.1,phi:,0.12,pingjunzhi:,0.000757376
non-markov,N:,3,t:,0,g:,0.1,phi:,0.124,pingjunzhi:,0.000708586
non-markov,N:,3,t:,0,g:,0.1,phi:,0.128,pingjunzhi:,0.000625482
non-markov,N:,3,t:,0,g:,0.1,phi:,0.132,pingjunzhi:,0.000871712
non-markov,N:,3,t:,0,g:,0.1,phi:,0.136,pingjunzhi:,0.000791861
non-markov,N:,3,t:,0,g:,0.1,phi:,0.14,pingjunzhi:,0.000861765
non-markov,N:,3,t:,0,g:,0.1,phi:,0.144,pingjunzhi:,0.000961681
non-markov,N:,3,t:,0,g:,0.1,phi:,0.148,pingjunzhi:,0.000927556
non-markov,N:,3,t:,0,g:,0.1,phi:,0.152,pingjunzhi:,0.000961517
non-markov,N:,3,t:,0,g:,0.1,phi:,0.156,pingjunzhi:,0.000915891
non-markov,N:,3,t:,0,g:,0.1,phi:,0.16,pingjunzhi:,0.001073812
non-markov,N:,3,t:,0,g:,0.1,phi:,0.164,pingjunzhi:,0.001220824
non-markov,N:,3,t:,0,g:,0.1,phi:,0.168,pingjunzhi:,0.001242596
non-markov,N:,3,t:,0,g:,0.1,phi:,0.172,pingjunzhi:,0.001125017
non-markov,N:,3,t:,0,g:,0.1,phi:,0.176,pingjunzhi:,0.001233568
non-markov,N:,3,t:,0,g:,0.1,phi:,0.18,pingjunzhi:,0.001494463
non-markov,N:,3,t:,0,g:,0.1,phi:,0.184,pingjunzhi:,0.001297558
non-markov,N:,3,t:,0,g:,0.1,phi:,0.188,pingjunzhi:,0.001505201
non-markov,N:,3,t:,0,g:,0.1,phi:,0.192,pingjunzhi:,0.001514497
