1,2,3,4,5,6,7,8,9,10,,,value
markov,N:,3,t:,0,g:,0.1,phi:,0.045,pingjunzhi:,,,8.10441E-06
markov,N:,3,t:,0,g:,0.1,phi:,0.05,pingjunzhi:,,,8.24832E-06
markov,N:,3,t:,0,g:,0.1,phi:,0.055,pingjunzhi:,,,8.92159E-06
markov,N:,3,t:,0,g:,0.1,phi:,0.06,pingjunzhi:,,,1.01437E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.065,pingjunzhi:,,,9.8824E-06
markov,N:,3,t:,0,g:,0.1,phi:,0.07,pingjunzhi:,,,9.41808E-06
markov,N:,3,t:,0,g:,0.1,phi:,0.075,pingjunzhi:,,,1.12943E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.08,pingjunzhi:,,,1.04763E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.085,pingjunzhi:,,,1.31168E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.09,pingjunzhi:,,,1.31862E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.095,pingjunzhi:,,,1.27679E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.1,pingjunzhi:,,,1.3552E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.105,pingjunzhi:,,,1.24395E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.11,pingjunzhi:,,,1.62248E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.115,pingjunzhi:,,,1.78508E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.12,pingjunzhi:,,,1.79732E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.125,pingjunzhi:,,,1.65519E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.13,pingjunzhi:,,,1.99927E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.135,pingjunzhi:,,,2.00191E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.14,pingjunzhi:,,,2.3602E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.145,pingjunzhi:,,,2.09505E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.15,pingjunzhi:,,,2.24331E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.155,pingjunzhi:,,,2.19018E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.16,pingjunzhi:,,,2.49634E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.165,pingjunzhi:,,,2.86158E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.17,pingjunzhi:,,,2.81928E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.175,pingjunzhi:,,,3.08977E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.18,pingjunzhi:,,,3.24698E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.185,pingjunzhi:,,,2.93982E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.19,pingjunzhi:,,,3.049E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.195,pingjunzhi:,,,2.92189E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.2,pingjunzhi:,,,2.89687E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.205,pingjunzhi:,,,3.31325E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.21,pingjunzhi:,,,3.73764E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.215,pingjunzhi:,,,3.87778E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.22,pingjunzhi:,,,4.18507E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.225,pingjunzhi:,,,3.82769E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.23,pingjunzhi:,,,4.16989E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.235,pingjunzhi:,,,4.42153E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.24,pingjunzhi:,,,4.38685E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.245,pingjunzhi:,,,5.0944E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.25,pingjunzhi:,,,5.39107E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.255,pingjunzhi:,,,4.73013E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.26,pingjunzhi:,,,5.98269E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.265,pingjunzhi:,,,6.14986E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.27,pingjunzhi:,,,6.73606E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.275,pingjunzhi:,,,5.34326E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.28,pingjunzhi:,,,5.66159E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.285,pingjunzhi:,,,6.7018E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.29,pingjunzhi:,,,6.8909E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.295,pingjunzhi:,,,6.26021E-05
markov,N:,3,t:,0,g:,0.1,phi:,0.3,pingjunzhi:,,,7.63612E-05
markov,N:,3,t:,0.1,g:,0,phi:,0,pingjunzhi:,,,2.13249E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.005,pingjunzhi:,,,2.03236E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.01,pingjunzhi:,,,2.28623E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.015,pingjunzhi:,,,1.76407E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.02,pingjunzhi:,,,1.85987E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.025,pingjunzhi:,,,2.44206E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.03,pingjunzhi:,,,2.31007E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.035,pingjunzhi:,,,1.80367E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.04,pingjunzhi:,,,2.03787E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.045,pingjunzhi:,,,2.22474E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.05,pingjunzhi:,,,2.37811E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.055,pingjunzhi:,,,2.17308E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.06,pingjunzhi:,,,2.1282E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.065,pingjunzhi:,,,2.36595E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.07,pingjunzhi:,,,2.4118E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.075,pingjunzhi:,,,2.69389E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.08,pingjunzhi:,,,2.65236E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.085,pingjunzhi:,,,2.7907E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.09,pingjunzhi:,,,2.45416E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.095,pingjunzhi:,,,2.75118E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.1,pingjunzhi:,,,2.84862E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.105,pingjunzhi:,,,3.09027E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.11,pingjunzhi:,,,3.28401E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.115,pingjunzhi:,,,3.06517E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.12,pingjunzhi:,,,2.89728E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.125,pingjunzhi:,,,3.18824E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.13,pingjunzhi:,,,3.12204E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.135,pingjunzhi:,,,3.21149E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.14,pingjunzhi:,,,3.48562E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.145,pingjunzhi:,,,3.47703E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.15,pingjunzhi:,,,4.04424E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.155,pingjunzhi:,,,3.6827E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.16,pingjunzhi:,,,4.09222E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.165,pingjunzhi:,,,3.45795E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.17,pingjunzhi:,,,3.94686E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.175,pingjunzhi:,,,4.5494E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.18,pingjunzhi:,,,4.56671E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.185,pingjunzhi:,,,4.40219E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.19,pingjunzhi:,,,5.17626E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.195,pingjunzhi:,,,5.136E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.2,pingjunzhi:,,,5.30383E-05
